,1.A.17.1.1,1.A.17.1.10,1.A.17.1.11,1.A.17.1.12,1.A.17.1.13,1.A.17.1.14,1.A.17.1.15,1.A.17.1.16,1.A.17.1.17,1.A.17.1.18,1.A.17.1.2,1.A.17.1.3,1.A.17.1.4,1.A.17.1.5,1.A.17.1.6,1.A.17.1.7,1.A.17.1.8,1.A.17.1.9,1.A.17.2.1,1.A.17.2.2,1.A.17.2.3,1.A.17.2.4,1.A.17.2.5,1.A.17.3.1,1.A.17.3.10,1.A.17.3.11,1.A.17.3.2,1.A.17.3.3,1.A.17.3.4,1.A.17.3.5,1.A.17.3.6,1.A.17.3.7,1.A.17.3.8,1.A.17.3.9,1.A.17.4.1,1.A.17.4.10,1.A.17.4.11,1.A.17.4.2,1.A.17.4.3,1.A.17.4.4,1.A.17.4.5,1.A.17.4.6,1.A.17.4.7,1.A.17.4.8,1.A.17.4.9,1.A.17.5.1,1.A.17.5.10,1.A.17.5.11,1.A.17.5.12,1.A.17.5.2,1.A.17.5.3,1.A.17.5.4,1.A.17.5.5,1.A.17.5.6,1.A.17.5.7,1.A.17.5.8,1.A.17.5.9,1.A.17.6.1,1.A.17.6.2,1.A.17.6.3,1.A.17.6.4,1.A.17.6.5,1.A.17.6.6,1.A.17.6.7,1.A.17.7.1,1.A.17.7.2,1.A.17.7.3,1.A.17.7.4,1.A.17.7.5
1.A.17.1.1,1608.8,99.6,87.4,73.3,89.4,159.2,90.2,123.0,88.5,31.3,467.3,931.2,485.8,323.7,168.0,333.1,34.9,30.1,32.6,41.9,38.9,,27.5,,,,,,,23.9,32.1,30.6,34.5,,23.3,26.4,,,,,28.1,23.8,25.6,28.1,25.5,,23.3,22.7,,,,27.4,26.2,,22.9,,,,,22.5,26.0,32.4,24.1,23.2,26.7,26.0,23.4,,29.1
1.A.17.1.10,104.7,1276.0,114.1,103.0,118.2,152.4,97.1,124.8,141.2,152.3,28.3,27.9,26.2,27.5,122.1,130.7,153.1,113.3,26.5,26.0,25.8,25.2,25.8,29.2,28.0,24.0,,26.4,,23.7,24.6,23.5,23.6,,22.4,,,,32.9,,22.8,24.0,26.5,29.5,29.4,,22.4,,23.2,24.5,22.2,33.0,,,,24.2,23.6,25.5,22.6,,,,25.5,,,,27.2,,26.0
1.A.17.1.11,95.6,118.9,964.0,90.8,86.8,143.5,79.5,120.5,122.2,109.6,28.5,95.0,26.0,88.4,68.8,100.3,103.2,87.6,33.4,44.4,23.7,21.6,25.8,28.3,22.5,,,25.5,30.2,23.3,24.6,24.2,,28.9,24.0,,,26.9,23.4,,,23.3,27.1,,30.4,,23.0,21.7,,,,,26.8,,22.7,22.3,,,,,22.5,22.1,23.4,,,,26.0,,
1.A.17.1.12,82.3,111.0,93.7,2211.9,33.0,119.3,61.8,175.8,87.1,78.8,73.8,85.4,93.9,66.0,90.7,86.8,108.4,87.4,28.5,36.3,24.2,28.4,,,,29.3,23.6,26.2,26.6,,27.4,25.6,24.5,28.5,,26.2,,,,26.4,27.2,23.1,,,,,24.6,24.3,,23.1,27.8,25.0,,,23.5,23.5,26.2,34.0,39.8,32.6,23.5,23.0,23.6,30.9,,32.8,29.9,28.9,
1.A.17.1.13,98.0,123.7,87.0,32.3,1938.1,184.9,90.2,44.6,100.4,113.9,103.0,99.1,124.9,76.7,105.0,114.8,133.0,122.3,39.0,47.8,39.2,33.6,33.4,30.9,24.5,27.0,26.0,,23.8,,29.6,31.6,39.2,26.1,28.1,27.1,,,,23.6,24.8,27.7,25.4,30.2,29.4,,26.4,27.4,23.4,,,33.0,25.7,24.2,,24.6,28.5,43.7,41.9,28.7,24.2,23.0,23.9,26.7,30.7,23.5,30.5,27.7,31.1
1.A.17.1.14,163.9,148.7,134.3,108.0,171.8,1418.2,113.9,182.6,133.6,130.1,152.0,166.0,182.4,144.0,155.3,177.4,182.5,178.4,49.9,56.5,47.3,30.9,43.5,28.0,,30.9,27.2,37.3,22.8,22.8,37.1,48.6,30.0,27.6,22.6,,,22.1,23.6,,30.1,,,,29.7,,,,23.2,,23.1,23.4,22.7,,22.7,,,,25.0,28.1,27.4,23.6,26.2,22.8,24.7,33.2,28.7,27.5,24.4
1.A.17.1.15,99.2,101.7,79.8,60.4,90.5,122.3,921.5,85.8,258.4,226.5,85.3,91.4,101.6,81.3,78.9,26.9,105.4,98.5,42.7,28.2,25.6,24.1,27.5,29.7,,25.4,,,,28.6,22.9,24.6,23.2,,23.6,27.1,22.6,22.8,22.1,24.7,28.4,21.7,23.3,,25.0,,26.6,24.1,21.7,,,,,,,,25.3,,,25.5,25.8,23.2,26.4,24.4,28.5,,28.3,,23.4
1.A.17.1.16,129.6,124.8,115.6,162.5,38.0,187.4,82.0,1902.3,97.6,104.8,27.2,131.4,147.5,119.2,112.3,153.8,156.3,131.9,26.7,30.9,23.5,23.5,,34.0,25.9,38.2,27.0,26.2,26.4,,27.6,44.7,33.1,29.8,23.3,,,,,26.6,24.6,25.2,26.7,26.9,35.6,,,,,,,29.2,23.2,,,24.6,23.6,36.1,28.0,30.7,26.3,25.2,28.3,43.0,25.3,25.6,32.1,22.3,25.2
1.A.17.1.17,89.1,135.0,112.2,77.9,92.2,130.9,234.3,93.5,1174.6,548.7,67.8,91.9,88.3,79.8,80.0,85.9,107.2,102.2,26.5,26.2,25.1,,23.0,24.4,,,22.7,,23.8,,23.2,25.6,28.8,24.6,,23.6,,,24.8,25.4,21.7,22.4,25.2,,,24.7,25.7,,,,,27.6,,,22.7,24.4,22.2,,24.5,30.0,28.4,23.6,,23.0,22.9,,,22.5,28.2
1.A.17.1.18,30.9,145.3,100.4,70.4,104.0,127.2,205.3,100.1,548.3,1169.6,84.5,79.4,90.7,90.4,99.7,96.9,115.6,29.9,21.5,27.8,24.9,21.6,29.4,24.9,,25.8,,,,,24.9,,,,25.9,22.0,,,25.6,22.7,,25.4,25.0,,26.1,,22.6,,,26.1,23.1,22.3,,,,,22.9,23.6,36.3,24.4,24.6,24.7,23.6,22.4,24.7,,,,22.4
