,1.A.17.1.1,1.A.17.1.10,1.A.17.1.11,1.A.17.1.12,1.A.17.1.13,1.A.17.1.14,1.A.17.1.15,1.A.17.1.16,1.A.17.1.17,1.A.17.1.18,1.A.17.1.2,1.A.17.1.3,1.A.17.1.4,1.A.17.1.5,1.A.17.1.6,1.A.17.1.7,1.A.17.1.8,1.A.17.1.9,1.A.17.2.1,1.A.17.2.2,1.A.17.2.3,1.A.17.2.4,1.A.17.2.5,1.A.17.3.1,1.A.17.3.10,1.A.17.3.11,1.A.17.3.2,1.A.17.3.3,1.A.17.3.4,1.A.17.3.5,1.A.17.3.6,1.A.17.3.7,1.A.17.3.8,1.A.17.3.9,1.A.17.4.1,1.A.17.4.10,1.A.17.4.11,1.A.17.4.2,1.A.17.4.3,1.A.17.4.4,1.A.17.4.5,1.A.17.4.6,1.A.17.4.7,1.A.17.4.8,1.A.17.4.9,1.A.17.5.1,1.A.17.5.10,1.A.17.5.11,1.A.17.5.12,1.A.17.5.2,1.A.17.5.3,1.A.17.5.4,1.A.17.5.5,1.A.17.5.6,1.A.17.5.7,1.A.17.5.8,1.A.17.5.9,1.A.17.6.1,1.A.17.6.2,1.A.17.6.3,1.A.17.6.4,1.A.17.6.5,1.A.17.6.6,1.A.17.6.7,1.A.17.7.1,1.A.17.7.2,1.A.17.7.3,1.A.17.7.4,1.A.17.7.5
1.A.17.1.1,0.062158130283441075,0.9551098376313276,1.0460251046025104,1.2150668286755772,1.0204081632653061,0.6101281269066504,1.0080645161290323,0.7716049382716049,1.122334455667789,1.2484394506866419,0.19451468585878232,0.10672358591248667,0.20521239482864764,0.2847380410022779,0.5344735435595939,0.27563395810363833,0.49382716049382713,0.5546311702717692,2.785515320334262,2.2883295194508007,2.525252525252525,4.6082949308755765,3.6363636363636362,10.0,10.0,10.0,10.0,10.0,10.0,4.184100418410042,3.115264797507788,3.2679738562091503,2.5906735751295336,4.23728813559322,4.291845493562231,3.7735849056603774,10.0,10.0,10.0,10.0,3.4013605442176873,4.201680672268908,3.8314176245210727,3.558718861209964,3.9215686274509802,10.0,4.273504273504273,4.184100418410042,10.0,10.0,10.0,3.5714285714285716,3.802281368821293,10.0,3.98406374501992,10.0,10.0,10.0,4.405286343612335,4.310344827586207,3.802281368821293,3.0030030030030033,4.032258064516129,4.0650406504065035,3.4246575342465753,3.6101083032490977,3.90625,10.0,3.0959752321981426
1.A.17.1.10,0.9551098376313276,0.07836990595611286,0.8410428931875525,0.9009009009009009,0.8084074373484236,0.6561679790026247,0.983284169124877,0.8012820512820513,0.708215297450425,0.6565988181221273,0.9433962264150944,0.8795074758135444,0.8952551477170994,0.8071025020177562,0.7782101167315175,0.7479431563201198,0.6506180871828238,0.88261253309797,2.865329512893983,2.7548209366391188,2.865329512893983,3.802281368821293,3.225806451612903,3.4246575342465753,3.5714285714285716,4.166666666666667,10.0,3.7037037037037037,10.0,4.219409282700422,4.0650406504065035,4.25531914893617,4.048582995951417,4.329004329004329,4.464285714285714,10.0,10.0,10.0,3.0395136778115504,10.0,4.291845493562231,4.166666666666667,3.7735849056603774,3.389830508474576,3.4013605442176873,10.0,4.464285714285714,4.504504504504505,4.201680672268908,4.048582995951417,4.464285714285714,3.021148036253776,10.0,10.0,10.0,4.132231404958678,4.23728813559322,3.802281368821293,4.366812227074236,10.0,10.0,10.0,3.8461538461538463,10.0,4.366812227074236,4.464285714285714,3.389830508474576,4.6082949308755765,3.5842293906810037
1.A.17.1.11,1.0460251046025104,0.8410428931875525,0.1037344398340249,1.0672358591248665,1.1494252873563218,0.6968641114982579,1.2531328320802007,0.8298755186721992,0.8183306055646481,0.9124087591240876,1.0362694300518134,1.0526315789473684,0.9578544061302682,1.1312217194570136,1.445086705202312,0.9970089730807578,0.9689922480620154,1.1415525114155252,2.881844380403458,2.2522522522522523,4.219409282700422,4.566210045662101,3.875968992248062,3.5335689045936394,4.444444444444445,10.0,10.0,3.9215686274509802,3.3112582781456954,4.291845493562231,4.0650406504065035,4.132231404958678,4.424778761061947,3.41296928327645,4.166666666666667,10.0,10.0,3.717472118959108,4.273504273504273,10.0,10.0,4.291845493562231,3.6900369003690034,10.0,3.2894736842105265,10.0,4.3478260869565215,4.566210045662101,10.0,10.0,10.0,10.0,3.7313432835820897,10.0,4.184100418410042,4.484304932735426,10.0,10.0,10.0,10.0,4.444444444444445,4.524886877828054,4.273504273504273,10.0,10.0,10.0,3.6496350364963503,10.0,4.504504504504505
1.A.17.1.12,1.2150668286755772,0.9009009009009009,1.0672358591248665,0.0452100004521,1.1299435028248588,0.8382229673093043,1.6181229773462784,0.5688282138794084,1.1481056257175661,1.2690355329949239,1.3550135501355014,1.17096018735363,1.0649627263045793,1.5151515151515151,1.1025358324145533,1.1520737327188941,0.9225092250922509,1.1441647597254003,2.9940119760479043,2.7548209366391188,4.132231404958678,3.4965034965034962,10.0,10.0,10.0,3.389830508474576,4.23728813559322,3.816793893129771,3.7593984962406015,10.0,3.6496350364963503,3.90625,3.98406374501992,3.4965034965034962,10.0,3.816793893129771,10.0,10.0,10.0,3.787878787878788,3.6764705882352944,4.329004329004329,10.0,10.0,10.0,10.0,4.0650406504065035,4.0650406504065035,10.0,4.329004329004329,3.597122302158273,4.0,10.0,10.0,4.0650406504065035,4.25531914893617,3.816793893129771,2.9411764705882355,2.512562814070352,3.067484662576687,4.25531914893617,4.3478260869565215,4.23728813559322,3.1948881789137378,10.0,3.0303030303030303,3.1948881789137378,3.3557046979865772,10.0
1.A.17.1.13,1.0204081632653061,0.8084074373484236,1.1494252873563218,1.1299435028248588,0.051596924823280536,0.5408328826392644,1.1049723756906078,0.8438818565400844,0.99601593625498,0.8779631255487269,0.970873786407767,1.0090817356205852,0.800640512409928,1.303780964797914,0.9478672985781991,0.8710801393728224,0.7518796992481203,0.8176614881439085,2.450980392156863,2.092050209205021,2.5510204081632653,2.898550724637681,2.9940119760479043,3.236245954692557,4.081632653061225,2.525252525252525,3.8461538461538463,10.0,4.201680672268908,10.0,3.378378378378378,3.1645569620253164,2.4038461538461537,3.7313432835820897,3.367003367003367,3.6900369003690034,10.0,10.0,10.0,4.23728813559322,3.98406374501992,3.6101083032490977,3.937007874015748,3.3112582781456954,2.849002849002849,4.405286343612335,3.787878787878788,3.5335689045936394,4.201680672268908,10.0,10.0,3.0303030303030303,3.8910505836575875,4.132231404958678,4.366812227074236,4.0650406504065035,3.508771929824561,2.2522522522522523,2.3866348448687353,3.4246575342465753,4.132231404958678,4.3478260869565215,4.166666666666667,2.5188916876574305,3.0864197530864197,4.132231404958678,3.067484662576687,3.4246575342465753,3.0303030303030303
1.A.17.1.14,0.6101281269066504,0.6561679790026247,0.6968641114982579,0.8382229673093043,0.5408328826392644,0.07051191651389084,0.8176614881439085,0.5336179295624333,0.7485029940119761,0.7686395080707149,0.6199628022318661,0.6024096385542169,0.5482456140350876,0.6622516556291391,0.5959475566150179,0.5361930294906166,0.532197977647685,0.5605381165919282,1.8148820326678765,1.721170395869191,2.109704641350211,3.0395136778115504,2.2988505747126435,3.5714285714285716,10.0,3.1948881789137378,3.6764705882352944,2.5510204081632653,4.385964912280701,4.385964912280701,2.6954177897574123,2.05761316872428,3.0581039755351678,3.4246575342465753,4.424778761061947,10.0,10.0,4.504504504504505,4.23728813559322,10.0,3.1948881789137378,10.0,10.0,10.0,3.367003367003367,10.0,10.0,10.0,4.149377593360995,10.0,4.23728813559322,4.23728813559322,4.405286343612335,4.405286343612335,4.032258064516129,10.0,10.0,10.0,3.8910505836575875,3.4246575342465753,3.623188405797101,4.201680672268908,3.6900369003690034,4.149377593360995,3.7593984962406015,2.816901408450704,3.144654088050314,3.3444816053511706,3.787878787878788
1.A.17.1.15,1.0080645161290323,0.983284169124877,1.2531328320802007,1.6181229773462784,1.1049723756906078,0.8176614881439085,0.10851871947911014,1.1655011655011656,0.38699690402476783,0.44150110375275936,1.1723329425556859,1.0940919037199124,0.984251968503937,1.2300123001230012,1.2658227848101267,0.9000900090009001,0.9487666034155597,1.015228426395939,2.2522522522522523,3.546099290780142,3.90625,4.0650406504065035,3.6363636363636362,3.367003367003367,10.0,3.937007874015748,10.0,10.0,10.0,3.4965034965034962,4.366812227074236,4.0650406504065035,4.201680672268908,10.0,4.23728813559322,3.6900369003690034,4.424778761061947,4.385964912280701,4.524886877828054,4.048582995951417,3.5211267605633805,4.6082949308755765,4.291845493562231,10.0,4.0,10.0,3.7593984962406015,4.0650406504065035,4.587155963302752,10.0,10.0,10.0,10.0,10.0,4.545454545454546,10.0,3.952569169960474,10.0,10.0,3.9215686274509802,3.875968992248062,4.310344827586207,3.787878787878788,3.98406374501992,3.3557046979865772,10.0,3.3333333333333335,4.716981132075472,4.0983606557377055
1.A.17.1.16,0.7716049382716049,0.8012820512820513,0.8298755186721992,0.5688282138794084,0.8438818565400844,0.5336179295624333,1.1655011655011656,0.05256794406770751,1.0245901639344264,0.9541984732824428,0.8554319931565441,0.76103500761035,0.6779661016949152,0.8203445447087776,0.847457627118644,0.6353240152477764,0.6381620931716656,0.7581501137225171,3.4246575342465753,3.2051282051282053,4.25531914893617,4.048582995951417,10.0,2.9411764705882355,3.8461538461538463,2.6109660574412534,3.7037037037037037,3.717472118959108,3.787878787878788,10.0,3.623188405797101,2.237136465324385,2.7777777777777777,3.2051282051282053,4.291845493562231,10.0,10.0,10.0,10.0,3.7453183520599254,3.937007874015748,3.9682539682539684,3.717472118959108,3.717472118959108,2.8089887640449436,4.366812227074236,10.0,4.424778761061947,10.0,10.0,10.0,3.4013605442176873,4.310344827586207,10.0,4.291845493562231,4.048582995951417,4.23728813559322,2.6455026455026456,3.134796238244514,3.1545741324921135,3.802281368821293,3.937007874015748,3.4246575342465753,2.1739130434782608,3.6764705882352944,3.717472118959108,2.8328611898017,4.166666666666667,3.6764705882352944
1.A.17.1.17,1.122334455667789,0.708215297450425,0.8183306055646481,1.1481056257175661,0.99601593625498,0.7485029940119761,0.38699690402476783,1.0245901639344264,0.08513536523071685,0.1822489520685256,1.3736263736263736,1.088139281828074,1.1325028312570782,1.1778563015312131,1.145475372279496,1.0940919037199124,0.889679715302491,0.966183574879227,3.4602076124567476,3.6101083032490977,3.9215686274509802,10.0,4.3478260869565215,4.0983606557377055,10.0,10.0,4.405286343612335,10.0,4.201680672268908,10.0,4.310344827586207,3.90625,3.1545741324921135,3.816793893129771,10.0,4.184100418410042,10.0,10.0,4.032258064516129,3.8461538461538463,4.405286343612335,4.464285714285714,3.875968992248062,10.0,10.0,3.8461538461538463,3.816793893129771,10.0,10.0,10.0,10.0,3.5211267605633805,10.0,10.0,3.98406374501992,4.032258064516129,4.464285714285714,10.0,3.9215686274509802,3.1545741324921135,3.4602076124567476,4.149377593360995,10.0,4.0650406504065035,4.032258064516129,10.0,10.0,4.0650406504065035,3.1948881789137378
1.A.17.1.18,1.2484394506866419,0.6565988181221273,0.9124087591240876,1.2690355329949239,0.8779631255487269,0.7686395080707149,0.44150110375275936,0.9541984732824428,0.1822489520685256,0.08549931600547196,1.0964912280701753,1.2594458438287153,1.1025358324145533,1.0341261633919339,0.9124087591240876,0.9652509652509653,0.823045267489712,0.8347245409015025,4.273504273504273,3.4602076124567476,3.90625,4.310344827586207,3.4013605442176873,4.016064257028113,10.0,3.7313432835820897,10.0,10.0,10.0,10.0,4.016064257028113,10.0,4.405286343612335,10.0,3.802281368821293,4.444444444444445,10.0,10.0,3.90625,4.273504273504273,10.0,3.875968992248062,3.875968992248062,10.0,3.8314176245210727,10.0,4.310344827586207,10.0,10.0,3.6764705882352944,4.149377593360995,4.366812227074236,10.0,10.0,10.0,10.0,4.273504273504273,3.98406374501992,2.5839793281653747,3.875968992248062,3.952569169960474,3.90625,4.016064257028113,4.149377593360995,3.6764705882352944,10.0,4.184100418410042,4.651162790697675,4.0650406504065035
